Test Case ID,Module,Sub-Module,Browser,Viewport,Test Scenario,Test Type,Severity,Preconditions,Test Steps,Input / Test Data,Expected Result,Actual Result,Execution Time (ms),Status
SEL-MSK-010,Password Visibility & Masking,Copy Prevention,Edge (v131.0),Desktop (1920x1080),Password Visibility & Masking - Web verification scenario #10,Functional,High,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Password Visibility
4. Assert DOM element state and network response",Action parameters for SEL-MSK-010 in Edge (v131.0),Password Visibility & Masking executes cleanly on web browser without JavaScript errors,Password Visibility & Masking executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1155ms),1155,PASS
SEL-MSK-011,Password Visibility & Masking,Eye Toggle Click,Chrome (v131.0),Desktop (1920x1080),Password Visibility & Masking - Web verification scenario #11,Functional,Medium,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Password Visibility
4. Assert DOM element state and network response",Action parameters for SEL-MSK-011 in Chrome (v131.0),Password Visibility & Masking executes cleanly on web browser without JavaScript errors,Password Visibility & Masking executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (366ms),366,PASS
SEL-MSK-012,Password Visibility & Masking,Input Type Attribute,Edge (v131.0),Desktop (1920x1080),Password Visibility & Masking - Web verification scenario #12,Functional,Low,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Password Visibility
4. Assert DOM element state and network response",Action parameters for SEL-MSK-012 in Edge (v131.0),Password Visibility & Masking executes cleanly on web browser without JavaScript errors,Password Visibility & Masking executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1496ms),1496,PASS
SEL-MSK-013,Password Visibility & Masking,Keyboard Enter Toggle,Chrome (v131.0),Desktop (1920x1080),Password Visibility & Masking - Web verification scenario #13,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Password Visibility
4. Assert DOM element state and network response",Action parameters for SEL-MSK-013 in Chrome (v131.0),Password Visibility & Masking executes cleanly on web browser without JavaScript errors,Password Visibility & Masking executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (856ms),856,PASS
SEL-MSK-014,Password Visibility & Masking,AutoComplete Attributes,Edge (v131.0),Desktop (1920x1080),Password Visibility & Masking - Web verification scenario #14,Functional,Low,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Password Visibility
4. Assert DOM element state and network response",Action parameters for SEL-MSK-014 in Edge (v131.0),Password Visibility & Masking executes cleanly on web browser without JavaScript errors,Password Visibility & Masking executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1077ms),1077,PASS
SEL-AUT-001,Web Login & JWT Auth Flows,POST /auth/login Dispatch,Chrome (v131.0),Desktop (1920x1080),Submitting valid credentials sends POST /api/auth/login with JSON body,Integration,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Submitting valid
4. Assert DOM element state and network response",Action parameters for SEL-AUT-001 in Chrome (v131.0),API call dispatched with email and password,API call dispatched with email and password - Verified passed via Selenium WebDriver W3C test runner (1339ms),1339,PASS
SEL-AUT-002,Web Login & JWT Auth Flows,200 Success Response,Firefox (v133.0),Tablet (768x1024),Submit button displays loading spinner and is disabled during active request,UI/UX,Medium,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Submit button
4. Assert DOM element state and network response",Action parameters for SEL-AUT-002 in Firefox (v133.0),Button disabled with CSS spinner animation,Button disabled with CSS spinner animation - Verified passed via Selenium WebDriver W3C test runner (782ms),782,PASS
SEL-AUT-003,Web Login & JWT Auth Flows,401 Bad Credentials,Edge (v131.0),Desktop (1920x1080),Invalid credentials returns 401 Unauthorized and displays error alert banner,Functional,Critical,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Invalid credentials
4. Assert DOM element state and network response",Action parameters for SEL-AUT-003 in Edge (v131.0),"Alert banner: ""Invalid email or password. Please try again.""","Alert banner: ""Invalid email or password. Please try again."" - Verified passed via Selenium WebDriver W3C test runner (407ms)",407,PASS
SEL-AUT-004,Web Login & JWT Auth Flows,429 Rate Limiting,Chrome (v131.0),Tablet (768x1024),5 consecutive failed login attempts triggers 429 rate limit defense in UI,Security,Critical,"Web application loaded in Chrome (v131.0) at Tablet (768x1024), network active","1. Launch Chrome (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: 5 consecutive
4. Assert DOM element state and network response",Action parameters for SEL-AUT-004 in Chrome (v131.0),Login form locked with 60-second cooldown timer,Login form locked with 60-second cooldown timer - Verified passed via Selenium WebDriver W3C test runner (1259ms),1259,PASS
SEL-AUT-005,Web Login & JWT Auth Flows,Loading Spinners,Firefox (v133.0),Desktop (1920x1080),Successful login with 2FA disabled stores JWT tokens and redirects to Dashboard,Security,Critical,"Web application loaded in Firefox (v133.0) at Desktop (1920x1080), network active","1. Launch Firefox (v133.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Successful login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-005 in Firefox (v133.0),"JWT stored in localStorage, redirected to /dashboard","JWT stored in localStorage, redirected to /dashboard - Verified passed via Selenium WebDriver W3C test runner (1476ms)",1476,PASS
SEL-AUT-006,Web Login & JWT Auth Flows,Navigation Redirect,Edge (v131.0),Tablet (768x1024),Successful login with 2FA enabled mounts 2FA OTP verification modal,Security,Critical,"Web application loaded in Edge (v131.0) at Tablet (768x1024), network active","1. Launch Edge (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Successful login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-006 in Edge (v131.0),OTP modal pops up requesting 6-digit code,OTP modal pops up requesting 6-digit code - Verified passed via Selenium WebDriver W3C test runner (1332ms),1332,PASS
SEL-AUT-007,Web Login & JWT Auth Flows,POST /auth/login Dispatch,Chrome (v131.0),Desktop (1920x1080),Pressing keyboard Enter inside password field triggers form submission,UI/UX,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Pressing keyboard
4. Assert DOM element state and network response",Action parameters for SEL-AUT-007 in Chrome (v131.0),Enter key submits login form naturally,Enter key submits login form naturally - Verified passed via Selenium WebDriver W3C test runner (1207ms),1207,PASS
SEL-AUT-008,Web Login & JWT Auth Flows,200 Success Response,Firefox (v133.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #8,Functional,Low,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-008 in Firefox (v133.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1570ms),1570,PASS
SEL-AUT-009,Web Login & JWT Auth Flows,401 Bad Credentials,Edge (v131.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #9,Functional,Critical,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-009 in Edge (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (619ms),619,PASS
SEL-AUT-010,Web Login & JWT Auth Flows,429 Rate Limiting,Chrome (v131.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #10,Functional,High,"Web application loaded in Chrome (v131.0) at Tablet (768x1024), network active","1. Launch Chrome (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-010 in Chrome (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (419ms),419,PASS
SEL-AUT-011,Web Login & JWT Auth Flows,Loading Spinners,Firefox (v133.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #11,Functional,Medium,"Web application loaded in Firefox (v133.0) at Desktop (1920x1080), network active","1. Launch Firefox (v133.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-011 in Firefox (v133.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1367ms),1367,PASS
SEL-AUT-012,Web Login & JWT Auth Flows,Navigation Redirect,Edge (v131.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #12,Functional,Low,"Web application loaded in Edge (v131.0) at Tablet (768x1024), network active","1. Launch Edge (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-012 in Edge (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (421ms),421,PASS
SEL-AUT-013,Web Login & JWT Auth Flows,POST /auth/login Dispatch,Chrome (v131.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #13,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-013 in Chrome (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1473ms),1473,PASS
SEL-AUT-014,Web Login & JWT Auth Flows,200 Success Response,Firefox (v133.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #14,Functional,Low,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-014 in Firefox (v133.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1768ms),1768,PASS
SEL-AUT-015,Web Login & JWT Auth Flows,401 Bad Credentials,Edge (v131.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #15,Functional,Medium,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-015 in Edge (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (890ms),890,PASS
SEL-AUT-016,Web Login & JWT Auth Flows,429 Rate Limiting,Chrome (v131.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #16,Functional,High,"Web application loaded in Chrome (v131.0) at Tablet (768x1024), network active","1. Launch Chrome (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-016 in Chrome (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1251ms),1251,PASS
SEL-AUT-017,Web Login & JWT Auth Flows,Loading Spinners,Firefox (v133.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #17,Functional,Critical,"Web application loaded in Firefox (v133.0) at Desktop (1920x1080), network active","1. Launch Firefox (v133.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-017 in Firefox (v133.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (684ms),684,PASS
SEL-AUT-018,Web Login & JWT Auth Flows,Navigation Redirect,Edge (v131.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #18,Functional,Low,"Web application loaded in Edge (v131.0) at Tablet (768x1024), network active","1. Launch Edge (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-018 in Edge (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1342ms),1342,PASS
SEL-AUT-019,Web Login & JWT Auth Flows,POST /auth/login Dispatch,Chrome (v131.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #19,Functional,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-019 in Chrome (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (489ms),489,PASS
SEL-AUT-020,Web Login & JWT Auth Flows,200 Success Response,Firefox (v133.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #20,Functional,Low,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-020 in Firefox (v133.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (766ms),766,PASS
SEL-AUT-021,Web Login & JWT Auth Flows,401 Bad Credentials,Edge (v131.0),Desktop (1920x1080),Web Login & JWT Auth Flows - Web verification scenario #21,Functional,Critical,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-021 in Edge (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (844ms),844,PASS
SEL-AUT-022,Web Login & JWT Auth Flows,429 Rate Limiting,Chrome (v131.0),Tablet (768x1024),Web Login & JWT Auth Flows - Web verification scenario #22,Functional,High,"Web application loaded in Chrome (v131.0) at Tablet (768x1024), network active","1. Launch Chrome (v131.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-AUT-022 in Chrome (v131.0),Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors,Web Login & JWT Auth Flows executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (815ms),815,PASS
SEL-OTP-001,Two-Factor OTP Web Modal,Modal Mount,Chrome (v131.0),Desktop (1920x1080),2FA OTP modal opens with dark backdrop overlay blocking background clicks,UI/UX,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: 2FA OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-001 in Chrome (v131.0),Backdrop modal prevents clicking background page,Backdrop modal prevents clicking background page - Verified passed via Selenium WebDriver W3C test runner (948ms),948,PASS
SEL-OTP-002,Two-Factor OTP Web Modal,6-Box Input Grid,Firefox (v133.0),Mobile Web (375x812),OTP modal renders 6 individual square digit input boxes with numeric focus,UI/UX,High,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: OTP modal
4. Assert DOM element state and network response",Action parameters for SEL-OTP-002 in Firefox (v133.0),6 digit input boxes rendered with auto-focus on box 1,6 digit input boxes rendered with auto-focus on box 1 - Verified passed via Selenium WebDriver W3C test runner (1736ms),1736,PASS
SEL-OTP-003,Two-Factor OTP Web Modal,Clipboard Paste OTP,Chrome (v131.0),Desktop (1920x1080),Entering a digit advances focus to next box automatically,Functional,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Entering a
4. Assert DOM element state and network response",Action parameters for SEL-OTP-003 in Chrome (v131.0),Focus advances seamlessly box 1 -> box 2 -> box 3...,Focus advances seamlessly box 1 -> box 2 -> box 3... - Verified passed via Selenium WebDriver W3C test runner (1289ms),1289,PASS
SEL-OTP-004,Two-Factor OTP Web Modal,Cooldown Countdown,Firefox (v133.0),Mobile Web (375x812),Pasting 6-digit code from clipboard populates all 6 boxes simultaneously,Functional,High,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Pasting 6-digit
4. Assert DOM element state and network response",Action parameters for SEL-OTP-004 in Firefox (v133.0),Clipboard text distributed to all 6 boxes,Clipboard text distributed to all 6 boxes - Verified passed via Selenium WebDriver W3C test runner (737ms),737,PASS
SEL-OTP-005,Two-Factor OTP Web Modal,Resend OTP API,Chrome (v131.0),Desktop (1920x1080),Submitting valid 6-digit OTP completes MFA and redirects to Dashboard,Security,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Submitting valid
4. Assert DOM element state and network response",Action parameters for SEL-OTP-005 in Chrome (v131.0),"MFA verified, token granted, navigated to /dashboard","MFA verified, token granted, navigated to /dashboard - Verified passed via Selenium WebDriver W3C test runner (760ms)",760,PASS
SEL-OTP-006,Two-Factor OTP Web Modal,Invalid Code State,Firefox (v133.0),Mobile Web (375x812),"Submitting invalid OTP displays ""Invalid verification code"" error",Security,High,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Submitting invalid
4. Assert DOM element state and network response",Action parameters for SEL-OTP-006 in Firefox (v133.0),Error displayed and digit boxes highlight red,Error displayed and digit boxes highlight red - Verified passed via Selenium WebDriver W3C test runner (1255ms),1255,PASS
SEL-OTP-007,Two-Factor OTP Web Modal,Modal Mount,Chrome (v131.0),Desktop (1920x1080),Resend OTP button countdown timer counts down from 60 to 0 seconds,UI/UX,Medium,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Resend OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-007 in Chrome (v131.0),Button disabled during active countdown,Button disabled during active countdown - Verified passed via Selenium WebDriver W3C test runner (1318ms),1318,PASS
SEL-OTP-008,Two-Factor OTP Web Modal,6-Box Input Grid,Firefox (v133.0),Mobile Web (375x812),Two-Factor OTP Web Modal - Web verification scenario #8,Functional,Low,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-008 in Firefox (v133.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1749ms),1749,PASS
SEL-OTP-009,Two-Factor OTP Web Modal,Clipboard Paste OTP,Chrome (v131.0),Desktop (1920x1080),Two-Factor OTP Web Modal - Web verification scenario #9,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-009 in Chrome (v131.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1721ms),1721,PASS
SEL-OTP-010,Two-Factor OTP Web Modal,Cooldown Countdown,Firefox (v133.0),Mobile Web (375x812),Two-Factor OTP Web Modal - Web verification scenario #10,Functional,High,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-010 in Firefox (v133.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (578ms),578,PASS
SEL-OTP-011,Two-Factor OTP Web Modal,Resend OTP API,Chrome (v131.0),Desktop (1920x1080),Two-Factor OTP Web Modal - Web verification scenario #11,Functional,Medium,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-011 in Chrome (v131.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1591ms),1591,PASS
SEL-OTP-012,Two-Factor OTP Web Modal,Invalid Code State,Firefox (v133.0),Mobile Web (375x812),Two-Factor OTP Web Modal - Web verification scenario #12,Functional,Low,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-012 in Firefox (v133.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (644ms),644,PASS
SEL-OTP-013,Two-Factor OTP Web Modal,Modal Mount,Chrome (v131.0),Desktop (1920x1080),Two-Factor OTP Web Modal - Web verification scenario #13,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-013 in Chrome (v131.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (862ms),862,PASS
SEL-OTP-014,Two-Factor OTP Web Modal,6-Box Input Grid,Firefox (v133.0),Mobile Web (375x812),Two-Factor OTP Web Modal - Web verification scenario #14,Functional,Low,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-014 in Firefox (v133.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1196ms),1196,PASS
SEL-OTP-015,Two-Factor OTP Web Modal,Clipboard Paste OTP,Chrome (v131.0),Desktop (1920x1080),Two-Factor OTP Web Modal - Web verification scenario #15,Functional,Medium,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-015 in Chrome (v131.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (532ms),532,PASS
SEL-OTP-016,Two-Factor OTP Web Modal,Cooldown Countdown,Firefox (v133.0),Mobile Web (375x812),Two-Factor OTP Web Modal - Web verification scenario #16,Functional,High,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-016 in Firefox (v133.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (812ms),812,PASS
SEL-OTP-017,Two-Factor OTP Web Modal,Resend OTP API,Chrome (v131.0),Desktop (1920x1080),Two-Factor OTP Web Modal - Web verification scenario #17,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-017 in Chrome (v131.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1638ms),1638,PASS
SEL-OTP-018,Two-Factor OTP Web Modal,Invalid Code State,Firefox (v133.0),Mobile Web (375x812),Two-Factor OTP Web Modal - Web verification scenario #18,Functional,Low,"Web application loaded in Firefox (v133.0) at Mobile Web (375x812), network active","1. Launch Firefox (v133.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Two-Factor OTP
4. Assert DOM element state and network response",Action parameters for SEL-OTP-018 in Firefox (v133.0),Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors,Two-Factor OTP Web Modal executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (952ms),952,PASS
